Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Dumped broth flow(Fremoved:L/h),Dissolved oxygen concentration(DO2:mg/L),Vessel Volume(V:L),Vessel Weight(Wt:Kg),pH(pH:pH),Temperature(T:K),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),Viscosity(Viscosity_offline:centPoise)
0.2,0,1,0,0,0.077191111,0,0.317955564,0,1,0.904474534,0.042971342,0,0.600982952,0.06614786,0,0.5,??,??,0.877517529,??,??
0.4,0,1,0,0,0.136897778,0,0.099267216,0,1,0.903943837,0.043097728,0.000215604,0.640915374,0.151750973,0.004629393,0.5,??,??,0.885424437,??,??
0.6,0,1,0,0,0.152262222,0,0,0,1,0.903564768,0.043224115,0.000458159,0.687759177,0.13618677,0.006067378,0.5,??,??,0.887363867,??,??
0.8,0,1,0,0,0.113755556,0,0.138904718,0,1,0.902275932,0.043318904,0.000646813,0.716172631,0.260700389,0.006858082,0.5,??,??,0.886468745,??,??
1,0,1,0,0,0.042693333,0.106954076,0.013890349,0,1,0.899622447,0.043287308,0.000754615,0.710950699,0.206225681,0.007532548,0.5,0.184758301,0.097798259,0.882888259,1.00E+00,1
1.2,0,1,0,0,0,0.059133316,0.001388912,0,1,0.897878728,0.043192518,0.000781566,0.683305176,0.163424125,0.008203264,0.5,??,??,0.880202894,??,??
1.4,0,1,0,0,0,0.017739412,0.105159942,0,1,0.897196403,0.043097728,0.000835467,0.657041929,0.245136187,0.008894134,0.5,??,??,0.879307773,??,??
1.6,0,1,0,0,0,0.09025181,0.010515871,0,1,0.896438265,0.043034535,0.000889368,0.6317002,0.19844358,0.009608908,0.5,??,??,0.878860212,??,??
1.8,0,1,0,0,0.026524889,0.048233514,0.001051464,0,1,0.893860593,0.042971342,0.00097022,0.620027646,0.163424125,0.010354148,0.5,??,??,0.875578099,??,??
2,0,1,0,0,0.066337778,0.014470289,0.090293487,0,1,0.89242013,0.043002938,0.001104972,0.627860544,0.233463035,0.011122824,0.5,??,??,0.873489482,??,??
2.2,0,1,0,0,0.097177778,0.076445667,0.009029226,0,1,0.890752225,0.043034535,0.001266676,0.651052066,0.190661479,0.011924308,0.5,??,??,0.871251678,??,??
2.4,0,1,0,0,0.101191111,0.039809825,0.0009028,0,1,0.889615017,0.043097728,0.001428379,0.676393795,0.163424125,0.012749228,0.5,??,??,0.869908996,??,??
